page_num,course
25,AB HUM
28,AB IS
29,AB IS
30,AB IS
31,AB IS
32,AB IS
33,AB IS
34,AB IS
35,AB IS
36,AB IS
37,AB IS
38,AB IS
39,AB IS
98,AB LIT (ENG)
99,AB LIT (ENG)
100,AB LIT (ENG)
115,AB LIT (FIL)
119,AB PH
120,AB PH
121,AB PH
134,BFA AM
140,BFA CW
141,BFA CW
142,BFA CW
159,BFA ID
160,BFA ID
161,BFA ID
162,BFA ID
163,BFA ID
164,BFA ID
165,BFA ID
200,BFA TA
211,BS COMTECH
212,BS COMTECH
213,BS COMTECH
214,BS COMTECH
215,BS COMTECH
216,BS COMTECH
217,BS COMTECH
218,BS COMTECH
219,BS COMTECH
220,BS COMTECH
221,BS COMTECH
222,BS COMTECH
223,BS COMTECH
224,BS COMTECH
296,BS ITE
297,BS ITE
309,BS LM
310,BS LM
311,BS LM
312,BS LM
313,BS LM
314,BS LM
315,BS LM
316,BS LM
317,BS LM
318,BS LM
319,BS LM
320,BS LM
382,BS MAC
383,BS MAC
384,BS MAC
385,BS MAC
405,BS ME
406,BS ME
407,BS ME
408,BS ME
409,BS ME
410,BS ME
411,BS ME
412,BS ME
413,BS ME
414,BS ME
415,BS ME
416,BS ME
417,BS ME
418,BS ME
487,BS MGT
488,BS MGT
489,BS MGT
490,BS MGT
491,BS MGT
492,BS MGT
493,BS MGT
494,BS MGT
495,BS MGT
496,BS MGT
497,BS MGT
498,BS MGT
499,BS MGT
500,BS MGT
501,BS MGT
502,BS MGT
503,BS MGT
504,BS MGT
505,BS MGT
506,BS MGT
507,BS MGT
508,BS MGT
509,BS MGT
510,BS MGT
511,BS MGT
512,BS MGT
513,BS MGT
514,BS MGT
515,BS MGT
516,BS MGT
668,BS MGT-H
683,BS ACS
686,BS APS
693,BS BIO
694,BS BIO
695,BS BIO
709,BS CH
710,BS CH
711,BS CH
712,BS CH
709,BS CH-MSE
710,BS CH-MSE
711,BS CH-MSE
712,BS CH-MSE
732,BS COE
733,BS COE
742,BS CS
743,BS CS
744,BS CS
745,BS CS
742,BSMS CS
743,BSMS CS
744,BSMS CS
745,BSMS CS
766,BS CS-DGDD
769,BS ECE
770,BS ECE
771,BS ECE
772,BS ECE
791,BS ES
792,BS ES
801,BS HS
802,BS HS
803,BS HS
804,BS HS
805,BS HS
806,BS HS
807,BS HS
808,BS HS
850,BS LFSCI
851,BS LFSCI
852,BS LFSCI
853,BS LFSCI
854,BS LFSCI
855,BS LFSCI
856,BS LFSCI
891,BS MA
892,BS MA
900,BSMIS-MSCS
901,BSMIS-MSCS
902,BSMIS-MSCS
903,BSMIS-MSCS
904,BSMIS-MSCS
905,BSMIS-MSCS
906,BSMIS-MSCS
907,BSMIS-MSCS
900,BS MIS
901,BS MIS
902,BS MIS
903,BS MIS
904,BS MIS
905,BS MIS
906,BS MIS
907,BS MIS
948,BS CH-MSE
949,BS CH-MSE
960,BS PS
964,BSM AMF
965,BSM AMF
966,BSM AMF
967,BSM AMF
968,BSM AMF
969,BSM AMF
1008,AB ChnS-B
1008,AB ChnS-H
1008,AB ChnS-S
1014,AB COM
1015,AB COM
1016,AB COM
1017,AB COM
1018,AB COM
1019,AB COM
1020,AB COM
1021,AB COM
1022,AB COM
1023,AB COM
1024,AB COM
1077,AB DIP IR
1078,AB DIP IR
1079,AB DIP IR
1080,AB DIP IR
1102,AB DS
1103,AB DS
1104,AB DS
1105,AB DS
1124,AB EC
1125,AB EC
1126,AB EC
1127,AB EC
1128,AB EC
1129,AB EC
1157,AB EC-H
1158,AB EC-H
1166,AB EU
1167,AB EU
1168,AB EU
1169,AB EU
1170,AB EU
1171,AB EU
1199,AB HI
1205,AB MEC
1206,AB MEC
1207,AB MEC
1208,AB MEC
1209,AB MEC
1210,AB MEC
1211,AB MEC
1212,AB MEC
1213,AB MEC
1214,AB MEC
1266,AB POS
1267,AB POS
1268,AB POS
1269,AB POS
1270,AB POS
1297,AB PSY
1298,AB PSY
1299,AB PSY
1300,AB PSY
1301,AB PSY
1302,AB PSY
1303,AB PSY
1304,AB PSY
1344,AB SOS
1345,AB SOS
1355,BS PSY
1356,BS PSY
1357,BS PSY
1358,BS PSY
1359,BS PSY
1360,BS PSY
1361,BS PSY
1362,BS PSY
1363,BS PSY
1364,BS PSY
1365,BS PSY
1366,BS PSY